case_name,geom_name,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,alt_kft,Re,M_inf,alpha_deg,beta_deg,CD,CL,Cmy
case_0000,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,16.9,13300000.0,0.138,0.767,0.0,0.00972,0.0208,-0.00711
case_0002,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,4.115,9325000.0,0.4318,10.01,0.0,0.0184713,0.18817,-0.0622011
case_0003,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,36.08,11960000.0,0.2187,11.76,0.0,0.0238407,0.203843,-0.0673556
case_0004,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,20.93,2360000.0,0.1428,-9.075,0.0,0.0195548,-0.161686,0.0538597
case_0006,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,32.07,15770000.0,0.4592,-3.184,0.0,0.00489126,-0.065171,0.0215857
case_0007,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,13.6,13440000.0,0.3201,19.92,0.0,0.0762782,0.221494,-0.0791267
case_0008,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,24.35,29750000.0,0.2943,16.17,0.0,0.0521323,0.192662,-0.0644882
case_0009,geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57,10.08,22110000.0,0.2724,2.749,0.0,0.00626119,0.0615288,-0.0206597
case_0010,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,15.23,5863000.0,0.1222,-9.764,0.0,0.0279011,-0.244817,0.10644
case_0011,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,28.08,23100000.0,0.3878,3.826,0.0,0.00948392,0.118313,-0.052552
case_0012,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,1.648,33480000.0,0.1867,1.683,0.0,0.00901149,0.0558192,-0.0249518
case_0013,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,22.8,34860000.0,0.4444,-5.451,0.0,0.00829665,-0.155495,0.0681413
case_0014,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,33.51,1585000.0,0.2818,15.55,0.0,0.0612222,0.302393,-0.129083
case_0015,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,19.31,60110000.0,0.4836,7.233,0.0,0.0147495,0.222224,-0.0982856
case_0016,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,25.09,29240000.0,0.3547,-3.94,0.0,0.0072335,-0.103721,0.0451394
case_0017,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,7.511,3332000.0,0.08578,13.46,0.0,0.0495396,0.325761,-0.141884
case_0018,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,37.76,6826000.0,0.2403,8.996,0.0,0.0213132,0.245051,-0.107598
case_0019,geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87,9.62,7389000.0,0.1443,19.89,0.0,0.0967643,0.361094,-0.160015
case_0020,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,14.22,30140000.0,0.3475,-2.055,0.0,0.00510758,-0.0446316,0.0172769
case_0021,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,19.33,8752000.0,0.1314,14.09,0.0,0.0451351,0.291479,-0.114637
case_0022,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,35.16,16760000.0,0.2149,13.87,0.0,0.0436148,0.263336,-0.101705
case_0023,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,27.72,1032000.0,0.4568,3.477,0.0,0.00996992,0.0830844,-0.0329275
case_0024,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,7.507,9275000.0,0.4102,7.197,0.0,0.0132531,0.171581,-0.0680662
case_0025,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,31.32,28910000.0,0.3867,1.969,0.0,0.00478583,0.0508152,-0.0204207
case_0026,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,36.58,4453000.0,0.2849,-4.175,0.0,0.0103037,-0.0898126,0.0349264
case_0027,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,20.08,14680000.0,0.1805,9.636,0.0,0.0216413,0.215115,-0.0848188
case_0028,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,10.63,6056000.0,0.09314,-9.906,0.0,0.0291607,-0.211676,0.0832822
case_0029,geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6,1.415,44200000.0,0.2734,19.57,0.0,0.0979448,0.300033,-0.127237
case_0030,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,39.56,6824000.0,0.1922,17.04,0.0,0.0589912,0.285778,-0.122479
case_0031,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,12.29,6045000.0,0.3376,4.272,0.0,0.00846705,0.0822539,-0.034613
