geom_name,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
geom_000,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
geom_001,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
geom_002,123.2,144.2,365.9,1000.0,821.8,240.1,67.88,45.36,55.6,32.6
geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77
geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08
geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94
geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33
geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69
geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75
geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89
geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87
geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73
geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71
geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64
geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2
geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33
geom_016,104.3,73.85,680.7,1000.0,691.4,198.5,75.4,40.4,54.58,39.26
geom_017,197.4,163.1,456.5,1000.0,843.5,239.4,71.48,42.58,57.65,30.13
geom_018,160.6,91.65,590.6,1000.0,824.9,183.3,72.19,49.33,57.18,29.7
geom_019,111.2,63.78,637.6,1000.0,666.9,254.9,74.71,47.28,54.41,27.6
geom_020,158.3,68.44,240.2,1000.0,729.6,231.1,82.0,56.84,46.76,28.6
geom_021,131.0,170.1,328.7,1000.0,686.5,214.0,64.72,40.12,47.97,37.89
geom_022,196.9,155.1,506.2,1000.0,801.6,261.6,68.31,54.64,53.27,31.46
geom_023,100.2,186.3,388.6,1000.0,844.4,227.6,62.25,50.01,54.61,37.46
geom_024,133.9,177.5,213.0,1000.0,795.8,218.0,66.63,54.2,44.51,35.82
geom_025,161.1,104.8,362.2,1000.0,678.2,223.8,77.91,53.56,54.95,32.34
geom_026,104.9,172.2,345.1,1000.0,587.2,273.6,62.33,56.09,43.09,37.71
geom_027,145.6,90.18,579.9,1000.0,629.5,244.0,65.88,56.44,50.87,28.58
geom_028,124.4,199.5,203.2,1000.0,593.6,182.3,71.65,40.76,41.44,27.64
geom_029,138.7,177.4,312.7,1000.0,769.6,220.7,89.71,41.45,54.04,33.69
geom_030,141.3,147.4,469.5,1000.0,579.7,223.5,71.4,43.54,52.56,35.53
geom_031,129.2,168.1,348.4,1000.0,689.9,181.6,74.94,43.26,56.32,34.04
geom_032,102.3,86.55,316.1,1000.0,837.9,258.5,73.42,59.53,42.23,31.8
geom_033,116.3,56.21,200.5,1000.0,688.3,215.6,76.6,41.73,57.46,24.82
geom_034,184.3,91.27,257.9,1000.0,683.6,247.4,72.71,53.83,55.88,32.83
geom_035,130.3,186.4,524.8,1000.0,602.3,193.5,88.13,43.7,59.39,33.99
geom_036,130.8,115.9,457.1,1000.0,699.6,246.3,80.34,49.43,42.45,26.42
geom_037,144.0,95.78,252.0,1000.0,754.1,228.1,64.39,59.12,44.7,33.94
geom_038,142.0,172.0,589.4,1000.0,674.5,246.9,68.0,58.61,40.31,31.19
geom_039,183.3,128.9,559.3,1000.0,736.6,234.4,65.79,48.57,43.03,30.06
geom_040,179.3,51.04,610.5,1000.0,628.1,279.1,60.79,54.61,50.21,27.87
geom_041,137.7,123.2,429.8,1000.0,618.1,187.8,84.06,59.56,42.61,39.11
geom_042,184.7,194.0,677.8,1000.0,581.5,244.6,75.06,49.59,56.78,27.93
geom_043,126.5,163.5,592.0,1000.0,733.9,206.1,87.24,40.28,45.43,27.48
geom_044,123.5,95.09,504.8,1000.0,831.0,278.0,88.81,43.4,41.4,35.86
geom_045,158.6,71.97,429.1,1000.0,613.7,206.5,66.66,55.16,49.6,36.11
geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63
geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96
geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37
geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96
geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28
geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57
geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93
geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62
geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29
geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33
geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18
geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48
geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39
geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97
geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83
geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08
geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46
geom_063,174.3,84.23,262.1,1000.0,817.7,255.2,88.98,44.7,59.6,27.7
geom_064,178.7,165.3,374.0,1000.0,569.7,190.2,83.18,42.27,46.27,31.37
geom_065,134.9,60.6,250.4,1000.0,803.0,210.4,80.17,51.24,53.15,26.98
geom_066,180.8,113.8,457.8,1000.0,718.1,200.1,63.18,46.48,51.86,38.4
geom_067,178.3,58.99,480.2,1000.0,623.2,213.4,88.39,53.19,44.67,39.19
geom_068,191.3,98.42,617.2,1000.0,799.9,232.1,63.03,53.12,54.33,37.49
geom_069,120.9,133.3,665.3,1000.0,768.8,259.2,81.53,56.5,55.71,31.63
geom_070,146.5,102.3,470.3,1000.0,849.1,189.1,81.08,42.72,41.88,24.2
geom_071,152.4,168.5,517.6,1000.0,807.9,276.5,70.76,50.48,42.95,37.74
geom_072,154.1,95.63,204.9,1000.0,718.7,228.3,88.89,54.95,50.7,34.58
geom_073,184.4,148.6,252.6,1000.0,668.3,273.8,85.62,51.44,48.42,36.66
geom_074,196.3,161.2,463.5,1000.0,639.3,260.2,72.56,53.07,48.78,26.91
